25 46 5
67 63 39
68 166 114
34 1 35
145 103 109
100 109 103
36 33 37
58 110 16
37 33 30
31 30 3
2 31 3
4 25 5
4 3 30
47 62 66
106 139 147
30 25 4
58 77 94
25 33 45
51 38 49
31 35 26
41 38 13
46 25 45
47 53 29
38 14 13
24 33 36
41 12 42
83 260 261
190 266 224
108 104 102
31 26 37
101 104 100
60 59 57
115 116 93
31 34 35
51 49 43
33 25 30
86 88 73
60 72 50
31 2 34
31 37 30
26 36 37
41 13 12
55 51 43
54 62 63
52 44 39
46 47 29
42 307 11
38 41 308
10 179 340
38 308 32
43 49 50
15 57 56
45 33 61
61 52 45
24 44 61
46 45 40
46 40 47
46 29 5
63 62 40
47 40 62
49 38 32
48 14 51
49 32 92
55 48 51
87 88 89
60 77 58
45 52 40
38 51 14
75 91 97
47 28 53
28 47 66
59 56 57
15 48 55
16 56 59
43 72 55
88 50 89
15 55 57
57 72 60
94 110 58
16 59 58
60 86 77
58 59 60
24 61 33
44 52 61
63 40 52
66 62 74
52 39 63
65 67 23
54 65 70
81 309 66
75 78 91
54 63 65
74 62 54
81 66 74
71 70 78
63 67 65
74 79 81
70 71 54
23 95 96
96 91 70
55 72 57
76 82 79
50 72 43
108 112 100
121 111 310
54 71 74
74 71 79
180 169 102
82 81 79
71 80 79
76 80 84
86 60 50
99 94 77
91 78 70
79 80 76
80 71 78
82 27 64
78 75 80
75 189 84
82 76 279
81 82 309
82 64 309
97 114 177
83 261 84
75 84 80
239 241 235
254 201 235
190 293 266
88 86 50
73 77 86
89 116 316
142 126 130
89 50 92
73 88 87
93 32 308
89 32 93
101 103 99
142 133 182
65 96 70
91 69 97
49 92 50
32 89 92
339 341 11
93 42 115
99 77 73
110 94 118
96 65 23
69 91 95
91 96 95
68 114 113
97 113 114
204 123 179
116 89 93
101 99 73
90 94 99
180 87 169
17 120 312
73 180 104
103 101 100
123 157 116
129 132 135
108 100 104
99 103 90
73 104 101
106 109 112
282 285 336
162 314 313
145 111 144
94 90 118
158 310 148
112 127 106
109 100 112
105 109 106
127 112 125
125 112 108
192 85 137
138 139 106
105 145 109
110 120 119
119 16 110
138 106 127
97 177 75
97 69 113
341 42 11
116 115 98
98 340 179
116 98 123
117 125 128
135 132 117
90 144 118
118 121 120
118 144 121
120 110 118
17 119 120
148 310 111
120 121 312
111 145 146
310 311 122
114 166 168
154 166 167
172 124 193
181 316 157
130 128 125
125 117 127
130 126 128
183 221 224
128 134 117
132 127 117
130 125 108
335 134 128
140 129 153
138 132 140
102 133 108
130 108 133
143 336 142
318 209 319
117 134 135
132 129 140
102 156 133
182 170 137
335 128 126
134 131 135
131 285 306
318 320 325
188 211 176
311 310 158
170 182 156
143 85 203
132 138 127
139 138 136
174 140 153
148 111 146
174 153 186
138 140 136
198 229 162
173 147 139
133 142 130
143 142 137
192 137 170
143 137 85
145 144 90
121 144 111
103 145 90
145 105 146
147 105 106
146 105 147
228 196 227
146 147 148
136 164 173
141 159 147
160 152 159
162 152 160
156 169 151
171 172 184
151 172 208
152 158 159
18 152 313
199 197 186
160 198 162
194 9 223
83 189 178
179 123 98
169 156 102
156 151 170
124 171 123
151 169 181
159 158 148
311 152 18
147 159 148
159 141 160
163 160 141
198 160 163
163 141 164
174 186 164
198 163 161
19 313 314
141 173 164
161 210 198
174 164 136
161 163 164
161 197 210
198 210 251
167 150 317
168 166 154
168 154 188
166 68 167
189 177 178
169 87 181
184 172 151
195 208 172
171 124 172
157 123 171
193 194 185
219 207 195
147 173 141
136 173 139
140 174 136
107 226 228
153 196 186
161 164 186
211 154 317
176 211 213
114 168 177
177 168 178
201 168 188
201 178 168
155 204 191
155 194 204
104 180 102
87 180 73
87 89 316
151 181 157
142 182 137
156 182 133
206 225 221
203 85 192
151 157 184
171 184 157
220 222 206
172 193 195
175 187 199
196 199 186
197 187 149
211 317 200
188 176 201
84 189 83
177 189 75
212 331 176
263 279 261
208 195 207
179 10 191
192 183 203
194 193 124
195 193 185
204 194 124
205 9 194
217 195 185
192 207 183
196 153 227
165 251 230
186 197 161
329 229 165
210 197 149
175 199 196
187 197 199
214 252 22
200 214 213
233 201 176
260 263 261
235 201 233
