1 133
109 2
81 3
4 5
39 5
828 6
7 843
8 1098
1972 9
10 2185
11 2128
12 2107
13 2050
14 1985
15 1764
16 1894
17 1929
18 2169
19 2158
20 2164
28 747
30 470
33 473
31 36
35 56
36 4
56 33
39 35
81 31
109 3
132 150
150 2
133 132
273 285
276 284
284 28
285 276
283 599
286 480
454 744
470 286
468 471
471 30
473 468
480 273
345 753
455 738
567 604
585 594
594 6
562 751
604 283
738 454
743 823
744 585
599 455
747 562
751 345
753 567
723 922
828 743
823 7
843 723
922 1050
1050 8
1048 1212
1093 2234
1098 1093
1102 9
1110 1907
1212 1102
1526 1755
1654 1759
1663 2240
1660 1924
1755 1654
1759 16
1764 1663
1869 1981
1880 1931
1889 1892
1892 15
1894 1660
1905 2191
1116 1912
1924 17
1929 1880
1931 1869
1940 1889
1912 1110
1972 1116
1930 2244
1981 1930
1985 1940
1952 2048
2048 14
2050 1952
2053 2055
2055 13
2107 2053
2090 2204
2117 2163
2104 2121
2121 12
2128 2104
2140 2145
2145 11
2158 2117
2162 2197
2163 20
2169 2090
2185 2140
2164 2162
2197 21
2204 19
2191 10
2234 1048
2240 1526
1907 1905
2244 18
